topic,level,num_questions_type_10,num_questions_type_11,num_questions_type_12,num_questions_type_13,num_questions_type_14,cid
连词成句,1,10,10,10,10,10,31
介绍简单的物品和颜色,1,10,10,10,10,10,32
描述饮料,1,10,10,10,10,10,33
与人打招呼,1,10,10,10,10,10,34
描述个人物品,1,10,10,10,10,10,35
介绍自己来自哪里,1,10,10,10,10,10,36
在咖啡厅点餐,1,10,10,10,10,10,37
介绍自己的职业,2,10,10,10,10,10,38
谈论衣物及其价格,2,10,10,10,10,10,39
描述你的家人,2,10,10,10,10,10,40
餐厅点餐,2,10,10,10,10,10,41
谈论你的学校,2,10,10,10,10,10,42
询问个人物品,2,10,10,10,10,10,43
谈论人际关系,2,10,10,10,10,10,44
交换个人信息,2,10,10,10,10,10,45
谈论不同职业,2,10,10,10,10,10,46
描述早饭,2,10,10,10,10,10,47
谈论日常活动,2,10,10,10,10,10,48
介绍地点,2,10,10,10,10,10,49
谈论物品价格和数量,2,10,10,10,10,10,50
描述你认识的人,2,10,10,10,10,10,51
讲述你想要的食物和饮料,2,10,10,10,10,10,52
描述你家有什么,2,10,10,10,10,10,53
谈论天气,2,10,10,10,10,10,54
描述动物,2,10,10,10,10,10,55
表达星期和时间,2,10,10,10,10,10,56
给指令,2,10,10,10,10,10,57
描述地点和方位,2,10,10,10,10,10,58
谈论兴趣爱好,2,10,10,10,10,10,59
表达在餐厅的需求,2,10,10,10,10,10,60
在生日聚会上聊天,2,10,10,10,10,10,61
讲述正在进行的活动,2,10,10,10,10,10,62
描述日常安排,2,10,10,10,10,10,63
提问,2,10,10,10,10,10,64
谈论运动,2,10,10,10,10,10,65
在聚会上与人交谈,3,10,10,10,10,10,66
讨论休闲活动,3,10,10,10,10,10,67
描述衣物细节,3,10,10,10,10,10,68
使用形容词的比较级,3,10,10,10,10,10,69
谈论日常安排,3,10,10,10,10,10,70
使用形容词的最高级,3,10,10,10,10,10,71
使用序数词表达顺序,3,10,10,10,10,10,72
表达感受,3,10,10,10,10,10,73
描述城市生活,3,10,10,10,10,10,74
谈论未来的事件,3,10,10,10,10,10,75
对他人发出邀请,3,10,10,10,10,10,76
描述家里的物品,3,10,10,10,10,10,77
表达日期与时间,3,10,10,10,10,10,78
讲述农场生活,3,10,10,10,10,10,79
使用动词的一般过去时,3,10,10,10,10,10,80
讲述旅行经历,3,10,10,10,10,10,81
谈论过往的人生故事,3,10,10,10,10,10,82
讨论健康问题,3,10,10,10,10,10,83
讲述英国的生活经历,3,10,10,10,10,10,84
描述你的童年,3,10,10,10,10,10,85
使用现在完成时,3,10,10,10,10,10,86
在商城购物时与人交流,3,10,10,10,10,10,87
谈论考试经历,3,10,10,10,10,10,88
分享做饭经验,3,10,10,10,10,10,89
谈论工作安排,3,10,10,10,10,10,90
描述家居用品,4,10,10,10,10,10,91
在市场购物,4,10,10,10,10,10,92
形容人物细节,4,10,10,10,10,10,93
谈论过去的回忆,4,10,10,10,10,10,94
安排与人见面约会,4,10,10,10,10,10,95
分享惊险的经历,4,10,10,10,10,10,96
谈论自己的生活,4,10,10,10,10,10,97
指路,4,10,10,10,10,10,98
讲述大学生活,4,10,10,10,10,10,99
制定交通出行计划,4,10,10,10,10,10,100
描述健康问题,4,10,10,10,10,10,101
在工作场合向人求助,4,10,10,10,10,10,102
谈论节日,4,10,10,10,10,10,103
描述家居用品,4,10,10,10,10,10,104
谈论生活方式,4,10,10,10,10,10,105
在课堂上与人交流,4,10,10,10,10,10,106
谈论计划,4,10,10,10,10,10,107
描述过去进行的事件,4,10,10,10,10,10,108
在旅行中交流,4,10,10,10,10,10,109
描述童话中的情节,4,10,10,10,10,10,110
分享一次购物经历,4,10,10,10,10,10,111
谈论不愉快的事件,4,10,10,10,10,10,112
买快餐,4,10,10,10,10,10,113
谈论休闲娱乐活动,4,10,10,10,10,10,114
讨论做饭步骤,4,10,10,10,10,10,115
在城市中游玩,4,10,10,10,10,10,116
描述求职经历,4,10,10,10,10,10,117
与酒店前台沟通,4,10,10,10,10,10,118
分享高中学习经历,4,10,10,10,10,10,119
谈论户外旅行,4,10,10,10,10,10,120
描述你的工作安排,4,10,10,10,10,10,121
在二手市场购物,4,10,10,10,10,10,122
谈论传统节日,4,10,10,10,10,10,123
与老友叙旧,4,10,10,10,10,10,124
讲述在欧洲的旅行经历,4,10,10,10,10,10,125
询问地铁出行的信息,4,10,10,10,10,10,126
与人谈论工作,4,10,10,10,10,10,127
分享自驾游的经历,4,10,10,10,10,10,128
制定度假计划,4,10,10,10,10,10,129
描述家务活,4,10,10,10,10,10,130
讨论一场时装秀,4,10,10,10,10,10,131
谈论未来你可能做的事,4,10,10,10,10,10,132
讲述一次吃饭的经历,4,10,10,10,10,10,133
讨论买一个新房子,4,10,10,10,10,10,134
和医生交流病情,4,10,10,10,10,10,135
讨论修改计划,4,10,10,10,10,10,136
打电话,4,10,10,10,10,10,137
表达工作压力,4,10,10,10,10,10,138
讲述一次盗窃事件,4,10,10,10,10,10,139
分享你做的梦,4,10,10,10,10,10,140
进行返校购物,4,10,10,10,10,10,141
讨论暑假计划,4,10,10,10,10,10,142
描述上班第一天,4,10,10,10,10,10,143
讨论名人八卦,4,10,10,10,10,10,144
探索一个城市,4,10,10,10,10,10,145
Discuss traveling solo,5,10,10,10,10,10,146
Order food delivery,5,10,10,10,10,10,147
Describe a day in college,5,10,10,10,10,10,148
Discuss your work experience,5,10,10,10,10,10,149
Talk about the chores,5,10,10,10,10,10,150
Talk in an online meeting,5,10,10,10,10,10,151
Catch up with friends,5,10,10,10,10,10,152
Talk about your health,5,10,10,10,10,10,153
Discuss social media,5,10,10,10,10,10,154
Describe your Routine,5,10,10,10,10,10,155
Tell a fairy tale,5,10,10,10,10,10,156
Describe a wedding,5,10,10,10,10,10,157
Share memories,5,10,10,10,10,10,158
Talk about relationships,5,10,10,10,10,10,159
describe clothes,5,10,10,10,10,10,160
discuss travelling by plane,5,10,10,10,10,10,161
Talk about the news,5,10,10,10,10,10,162
Describe a trip in nature,5,10,10,10,10,10,163
Talk about the past,5,10,10,10,10,10,164
Discuss relationships,5,10,10,10,10,10,165
Discuss Party Preparation,5,10,10,10,10,10,166
Talk about visiting family,5,10,10,10,10,10,167
Talk about work,5,10,10,10,10,10,168
Discuss opinions,5,10,10,10,10,10,169
Talk about the arts,5,10,10,10,10,10,170
Describe sleeping habits,5,10,10,10,10,10,171
Discuss Sports,5,10,10,10,10,10,172
Talk about Halloween,5,10,10,10,10,10,173
